id,origin_city,destination_city,distance_km,estimated_time_hours,vehicle_type,carrier,cost_usd,status,created_at
1,Bogotá,Medellín,415,8.5,CAMION,TCC,320.00,ACTIVA,2024-01-05T08:00:00Z
2,Medellín,Cali,418,9.0,TRACTOMULA,Servientrega,480.00,ACTIVA,2024-01-06T09:00:00Z
3,Cali,Barranquilla,1050,18.0,TRACTOMULA,Coordinadora,870.00,ACTIVA,2024-01-07T07:30:00Z
4,Bogotá,Bucaramanga,395,7.5,CAMION,TCC,295.00,ACTIVA,2024-01-08T06:00:00Z
5,Barranquilla,Cartagena,120,2.5,FURGONETA,Deprisa,95.00,ACTIVA,2024-01-08T10:00:00Z
6,Medellín,Pereira,178,3.5,FURGONETA,Envía,140.00,ACTIVA,2024-01-09T08:00:00Z
7,Bogotá,Villavicencio,88,2.0,CAMION,TCC,110.00,ACTIVA,2024-01-09T11:00:00Z
8,Cali,Pasto,254,6.0,CAMION,Coordinadora,210.00,INACTIVA,2024-01-10T07:00:00Z
9,Bucaramanga,Cúcuta,195,4.0,FURGONETA,Servientrega,155.00,ACTIVA,2024-01-10T09:30:00Z
10,Bogotá,Manizales,290,5.5,CAMION,TCC,230.00,ACTIVA,2024-01-11T08:00:00Z
11,Medellín,Santa Marta,730,13.0,TRACTOMULA,DHL Colombia,610.00,ACTIVA,2024-01-11T06:00:00Z
12,Barranquilla,Santa Marta,95,2.0,FURGONETA,Deprisa,75.00,ACTIVA,2024-01-12T09:00:00Z
13,Bogotá,Cúcuta,585,11.0,TRACTOMULA,TCC,495.00,SUSPENDIDA,2024-01-12T07:00:00Z
14,Cali,Ibagué,200,4.0,CAMION,Coordinadora,160.00,ACTIVA,2024-01-13T08:30:00Z
15,Pereira,Armenia,47,1.0,MOTO_CARGO,Envía,38.00,ACTIVA,2024-01-13T10:00:00Z
16,Bogotá,Pereira,290,5.5,CAMION,TCC,240.00,ACTIVA,2024-01-14T07:00:00Z
17,Medellín,Turbo,340,7.0,CAMION,Servientrega,275.00,ACTIVA,2024-01-14T09:00:00Z
18,Cartagena,Montería,185,4.0,CAMION,Coordinadora,148.00,ACTIVA,2024-01-15T08:00:00Z
19,Bogotá,Neiva,300,6.0,CAMION,TCC,245.00,INACTIVA,2024-01-15T10:30:00Z
20,Cali,Popayán,130,2.5,FURGONETA,Envía,104.00,ACTIVA,2024-01-16T07:30:00Z
21,Medellín,Manizales,188,3.5,CAMION,Servientrega,150.00,ACTIVA,2024-01-16T08:00:00Z
22,Bogotá,Tunja,148,3.0,FURGONETA,TCC,118.00,ACTIVA,2024-01-17T09:00:00Z
23,Barranquilla,Valledupar,250,5.0,CAMION,Deprisa,200.00,ACTIVA,2024-01-17T07:00:00Z
24,Bucaramanga,Bogotá,390,7.5,TRACTOMULA,TCC,320.00,ACTIVA,2024-01-18T06:00:00Z
25,Cali,Buenaventura,115,2.5,CAMION,FedEx Colombia,95.00,ACTIVA,2024-01-18T10:00:00Z
26,Bogotá,Armenia,290,5.0,CAMION,TCC,235.00,ACTIVA,2024-01-19T08:00:00Z
27,Medellín,Bogotá,415,8.5,TRACTOMULA,Coordinadora,390.00,ACTIVA,2024-01-19T07:00:00Z
28,Pasto,Cali,254,6.0,CAMION,Envía,210.00,EN_MANTENIMIENTO,2024-01-20T09:00:00Z
29,Cartagena,Bogotá,1030,18.5,TRACTOMULA,Servientrega,860.00,ACTIVA,2024-01-20T06:00:00Z
30,Cúcuta,Bucaramanga,195,4.0,FURGONETA,DHL Colombia,158.00,ACTIVA,2024-01-21T08:30:00Z
31,Bogotá,Florencia,435,9.0,CAMION,TCC,355.00,ACTIVA,2024-01-21T07:00:00Z
32,Medellín,Quibdó,290,7.0,CAMION,Coordinadora,245.00,SUSPENDIDA,2024-01-22T09:00:00Z
33,Barranquilla,Montería,310,6.5,CAMION,Deprisa,248.00,ACTIVA,2024-01-22T08:00:00Z
34,Bogotá,Yopal,355,7.0,CAMION,TCC,285.00,ACTIVA,2024-01-23T07:30:00Z
35,Cali,Medellín,418,9.0,TRACTOMULA,Servientrega,470.00,ACTIVA,2024-01-23T06:00:00Z
36,Pereira,Medellín,178,3.5,FURGONETA,Envía,142.00,ACTIVA,2024-01-24T10:00:00Z
37,Manizales,Bogotá,290,5.5,CAMION,TCC,232.00,ACTIVA,2024-01-24T08:00:00Z
38,Ibagué,Cali,200,4.0,CAMION,Coordinadora,162.00,INACTIVA,2024-01-25T07:00:00Z
39,Santa Marta,Barranquilla,95,2.0,FURGONETA,Deprisa,78.00,ACTIVA,2024-01-25T09:30:00Z
40,Bogotá,Sincelejo,510,9.5,TRACTOMULA,TCC,425.00,ACTIVA,2024-01-26T06:00:00Z
41,Medellín,Cúcuta,580,11.0,TRACTOMULA,Servientrega,490.00,ACTIVA,2024-01-26T07:00:00Z
42,Cali,Neiva,245,5.0,CAMION,Coordinadora,195.00,ACTIVA,2024-01-27T08:00:00Z
43,Bogotá,Riohacha,1040,19.0,TRACTOMULA,TCC,875.00,ACTIVA,2024-01-27T06:00:00Z
44,Bucaramanga,Medellín,390,8.0,CAMION,DHL Colombia,315.00,EN_MANTENIMIENTO,2024-01-28T09:00:00Z
45,Barranquilla,Bogotá,1000,18.0,TRACTOMULA,FedEx Colombia,840.00,ACTIVA,2024-01-28T06:00:00Z
46,Pasto,Bogotá,630,13.0,TRACTOMULA,Envía,530.00,ACTIVA,2024-01-29T07:00:00Z
47,Cartagena,Barranquilla,120,2.5,MOTO_CARGO,Deprisa,50.00,ACTIVA,2024-01-29T10:00:00Z
48,Cali,Popayán,130,2.5,FURGONETA,Coordinadora,105.00,ACTIVA,2024-01-30T09:00:00Z
49,Bogotá,Leticia,1590,30.0,TRACTOMULA,TCC,1340.00,SUSPENDIDA,2024-01-30T06:00:00Z
50,Medellín,Apartadó,265,5.5,CAMION,Servientrega,215.00,ACTIVA,2024-01-31T08:00:00Z
51,Bogotá,Arauca,810,15.0,TRACTOMULA,TCC,680.00,ACTIVA,2024-02-01T07:00:00Z
